objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
93,service-pnp-agc-7a10000-7a10100-7a10188r.jpg,,service-pnp-agc-7a10000-7a10100-7a10188r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
94,service-pnp-agc-7a10000-7a10100-7a10191r.jpg,,service-pnp-agc-7a10000-7a10100-7a10191r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
95,service-pnp-agc-7a10000-7a10100-7a10194r.jpg,,service-pnp-agc-7a10000-7a10100-7a10194r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
96,service-pnp-agc-7a10000-7a10100-7a10195r.jpg,,service-pnp-agc-7a10000-7a10100-7a10195r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
97,service-pnp-agc-7a10000-7a10100-7a10197r.jpg,,service-pnp-agc-7a10000-7a10100-7a10197r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
98,service-pnp-agc-7a10000-7a10200-7a10206r.jpg,,service-pnp-agc-7a10000-7a10200-7a10206r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
99,service-pnp-agc-7a10000-7a10200-7a10208r.jpg,,service-pnp-agc-7a10000-7a10200-7a10208r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
100,service-pnp-agc-7a10000-7a10300-7a10342r.jpg,,service-pnp-agc-7a10000-7a10300-7a10342r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
101,service-pnp-agc-7a10000-7a10300-7a10343r.jpg,,service-pnp-agc-7a10000-7a10300-7a10343r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
102,service-pnp-agc-7a10000-7a10300-7a10345r.jpg,,service-pnp-agc-7a10000-7a10300-7a10345r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
103,service-pnp-agc-7a17000-7a17500-7a17577r.jpg,,service-pnp-agc-7a17000-7a17500-7a17577r.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
104,標柱の位置と家並み.jpg,,標柱の位置と家並み.jpg,image/jpeg,description needed,,,2018,yes,,,Yoshistune Shrine,42.591,142.138,,,,,,,,,,,
105,義経神社標柱比較.jpg,,義経神社標柱比較.jpg,image/jpeg,description needed,,,2018,yes,,,Yoshistune Shrine,42.591,142.138,,,,,,,,,,,
